Day Index,Pageviews
1/1/13,"92,812"
1/2/13,"182,645"
1/3/13,"286,954"
1/4/13,"331,373"
1/5/13,"194,671"
1/6/13,"197,954"
1/7/13,"418,191"
1/8/13,"474,146"
1/9/13,"493,641"
1/10/13,"573,630"
1/11/13,"477,314"
1/12/13,"264,887"
1/13/13,"204,052"
1/14/13,"310,141"
1/15/13,"360,446"
1/16/13,"417,175"
1/17/13,"477,450"
1/18/13,"629,763"
1/19/13,"313,924"
1/20/13,"309,176"
1/21/13,"346,669"
1/22/13,"386,346"
1/23/13,"612,077"
1/24/13,"444,569"
1/25/13,"376,221"
1/26/13,"334,951"
1/27/13,"373,044"
1/28/13,"360,011"
1/29/13,"385,543"
1/30/13,"464,720"
1/31/13,"415,376"
2/1/13,"306,561"
2/2/13,"294,284"
2/3/13,"224,356"
2/4/13,"524,707"
2/5/13,"567,740"
2/6/13,"483,017"
2/7/13,"624,027"
2/8/13,"591,208"
2/9/13,"310,779"
2/10/13,"549,629"
2/11/13,"482,699"
2/12/13,"430,041"
2/13/13,"570,457"
2/14/13,"514,563"
2/15/13,"1,005,807"
2/16/13,"715,322"
2/17/13,"561,459"
2/18/13,"887,692"
2/19/13,"979,464"
2/20/13,"2,118,408"
2/21/13,"2,028,004"
2/22/13,"1,266,772"
2/23/13,"598,656"
2/24/13,"481,739"
2/25/13,"823,019"
2/26/13,"791,450"
2/27/13,"664,546"
2/28/13,"617,567"
3/1/13,"519,943"
3/2/13,"346,904"
3/3/13,"414,606"
3/4/13,"1,220,283"
3/5/13,"1,000,791"
3/6/13,"987,194"
3/7/13,"1,056,107"
3/8/13,"820,416"
3/9/13,"584,391"
3/10/13,"399,686"
3/11/13,"544,358"
3/12/13,"538,402"
3/13/13,"765,348"
3/14/13,"624,033"
3/15/13,"704,887"
3/16/13,"601,922"
3/17/13,"667,888"
3/18/13,"962,500"
3/19/13,"758,406"
3/20/13,"713,898"
3/21/13,"1,092,453"
3/22/13,"1,245,357"
3/23/13,"982,271"
3/24/13,"814,940"
3/25/13,"885,512"
3/26/13,"980,272"
3/27/13,"1,338,603"
3/28/13,"1,184,621"
3/29/13,"1,092,182"
3/30/13,"776,944"
3/31/13,"786,586"
4/1/13,"846,615"
4/2/13,"855,018"
4/3/13,"933,142"
4/4/13,"891,485"
4/5/13,"1,080,478"
4/6/13,"754,653"
4/7/13,"691,893"
4/8/13,"1,114,904"
4/9/13,"930,955"
4/10/13,"806,569"
4/11/13,"754,674"
4/12/13,"881,698"
4/13/13,"603,665"
4/14/13,"484,129"
4/15/13,"549,031"
4/16/13,"764,487"
4/17/13,"2,692,310"
4/18/13,"1,826,163"
4/19/13,"1,075,043"
4/20/13,"973,815"
4/21/13,"610,553"
4/22/13,"733,007"
4/23/13,"828,837"
4/24/13,"864,919"
4/25/13,"1,110,792"
4/26/13,"1,202,986"
4/27/13,"827,262"
4/28/13,"740,171"
4/29/13,"1,419,776"
4/30/13,"1,061,223"
5/1/13,"928,304"
5/2/13,"1,360,132"
5/3/13,"1,224,434"
5/4/13,"644,391"
5/5/13,"588,875"
5/6/13,"925,097"
5/7/13,"1,095,649"
5/8/13,"1,125,346"
5/9/13,"3,197,230"
5/10/13,"2,308,621"
5/11/13,"975,856"
5/12/13,"534,078"
5/13/13,"1,102,156"
5/14/13,"1,329,649"
5/15/13,"2,356,716"
5/16/13,"1,801,143"
5/17/13,"954,689"
5/18/13,"656,676"
5/19/13,"1,270,866"
5/20/13,"2,496,765"
5/21/13,"9,055,365"
5/22/13,"5,467,922"
5/23/13,"2,553,245"
5/24/13,"1,465,019"
5/25/13,"887,807"
5/26/13,"683,591"
5/27/13,"740,654"
5/28/13,"764,099"
5/29/13,"859,401"
5/30/13,"1,150,337"
5/31/13,"3,990,245"
6/1/13,"2,583,221"
6/2/13,"1,310,142"
6/3/13,"1,187,211"
6/4/13,"1,059,268"
6/5/13,"1,215,472"
6/6/13,"1,350,053"
6/7/13,"1,947,515"
6/8/13,"1,462,916"
6/9/13,"1,214,246"
6/10/13,"1,283,596"
6/11/13,"1,616,095"
6/12/13,"1,510,833"
6/13/13,"1,545,173"
6/14/13,"1,028,170"
6/15/13,"905,381"
6/16/13,"866,929"
6/17/13,"943,855"
6/18/13,"1,331,205"
6/19/13,"1,345,025"
6/20/13,"2,350,183"
6/21/13,"2,167,560"
6/22/13,"1,149,128"
6/23/13,"909,779"
6/24/13,"1,441,403"
6/25/13,"1,781,044"
6/26/13,"2,357,433"
6/27/13,"1,850,445"
6/28/13,"1,718,789"
6/29/13,"1,320,819"
6/30/13,"1,112,585"
7/1/13,"1,444,430"
7/2/13,"1,655,177"
7/3/13,"1,800,347"
7/4/13,"1,313,041"
7/5/13,"1,079,168"
7/6/13,"764,263"
7/7/13,"872,954"
7/8/13,"1,787,653"
7/9/13,"5,801,301"
7/10/13,"3,149,382"
7/11/13,"1,939,959"
7/12/13,"1,626,948"
7/13/13,"1,241,872"
7/14/13,"1,242,697"
7/15/13,"1,583,199"
7/16/13,"2,591,581"
7/17/13,"2,135,776"
7/18/13,"1,802,697"
7/19/13,"1,783,809"
7/20/13,"1,342,056"
7/21/13,"1,507,499"
7/22/13,"2,065,761"
7/23/13,"2,516,096"
7/24/13,"1,851,716"
7/25/13,"1,640,886"
7/26/13,"1,503,631"
7/27/13,"1,019,514"
7/28/13,"1,062,556"
7/29/13,"1,398,808"
7/30/13,"1,740,105"
7/31/13,"1,975,778"
8/1/13,"1,534,354"
8/2/13,"1,680,698"
8/3/13,"1,262,876"
8/4/13,"1,097,404"
8/5/13,"1,416,732"
8/6/13,"1,630,785"
8/7/13,"2,267,703"
8/8/13,"2,087,555"
8/9/13,"2,033,283"
8/10/13,"1,227,975"
8/11/13,"1,075,542"
8/12/13,"1,485,425"
8/13/13,"1,866,952"
8/14/13,"2,209,258"
8/15/13,"2,889,351"
8/16/13,"2,461,124"
8/17/13,"1,276,305"
8/18/13,"1,227,676"
8/19/13,"1,384,564"
8/20/13,"1,710,089"
8/21/13,"1,775,850"
8/22/13,"1,835,754"
8/23/13,"1,890,425"
8/24/13,"1,568,667"
8/25/13,"1,343,378"
8/26/13,"1,445,713"
8/27/13,"1,578,889"
8/28/13,"2,342,163"
8/29/13,"2,195,644"
