Day Index,Users,New Users,Number of Sessions per User,Sessions,Avg. Session Duration,Bounce Rate,Pageviews,Pages / Session
1/1/13,"67,283","17,706",1.05,"68,825",0:01:46,80.00%,"82,590",1.15
1/2/13,"123,942","53,118",1.03,N/A,0:01:25,72.22%,N/A,1.44
1/3/13,"194,766","88,530",1.13,N/A,0:01:05,77.42%,N/A,1.31
1/4/13,"237,261","123,942",1.09,N/A,0:02:09,87.67%,N/A,1.15
1/5/13,"134,566","60,200",1.13,N/A,0:01:35,76.74%,N/A,1.26
1/6/13,"145,189","74,365",1.1,N/A,0:01:25,86.67%,N/A,1.27
1/7/13,"283,296","92,071",1.15,N/A,0:01:15,81.52%,N/A,1.5
1/8/13,"336,414","177,060",1.12,N/A,0:01:08,80.19%,N/A,1.27
1/9/13,"343,497","198,307",1.13,N/A,0:00:43,87.27%,N/A,1.15
1/10/13,"396,615","226,637",1.15,N/A,0:01:04,83.72%,N/A,1.32
1/11/13,"350,579","201,849",1.09,N/A,0:00:47,89.81%,N/A,1.23
1/12/13,"180,601","84,989",1.18,N/A,0:00:30,88.33%,N/A,1.15
1/13/13,"141,648","63,742",1.12,N/A,0:01:34,84.44%,N/A,1.24
1/14/13,"212,472","84,989",1.13,N/A,0:01:05,86.76%,N/A,1.25
1/15/13,"240,802","92,071",1.15,N/A,0:02:36,73.08%,N/A,1.56
1/16/13,"262,049","102,695",1.2,N/A,0:01:46,78.65%,N/A,1.64
1/17/13,"311,626","166,437",1.2,N/A,0:00:48,82.08%,N/A,1.35
1/18/13,"470,980","283,296",1.08,N/A,0:01:16,84.62%,N/A,1.29
1/19/13,"216,013","99,154",1.18,N/A,0:01:43,83.33%,N/A,1.21
1/20/13,"226,637","138,107",1.11,N/A,0:01:51,87.32%,N/A,1.13
1/21/13,"240,802","131,024",1.13,N/A,0:01:07,84.42%,N/A,1.26
1/22/13,"251,425","120,401",1.17,N/A,0:00:49,78.31%,N/A,1.47
1/23/13,"403,697","212,472",1.22,N/A,0:01:43,73.38%,N/A,1.55
1/24/13,"301,002","145,189",1.14,N/A,0:01:13,85.57%,N/A,1.29
1/25/13,"244,343","113,318",1.2,N/A,0:00:54,85.54%,N/A,1.34
1/26/13,"219,555","84,989",1.23,N/A,0:02:37,76.32%,N/A,1.49
